"Annual Electricity, Net [MWh]",Electricity Produced [MW],Total Area [acre]
323178.2938740584,47.09674858940972,499.8117131123719
323178.2938740584,42.66803819444444,499.8117131123719
323178.2938740584,-18.35403862847222,499.8117131123719
323178.2938740584,-19.012369791666668,499.8117131123719
323178.2938740584,-19.76818142361111,499.8117131123719
323178.2938740584,-20.312220052083333,499.8117131123719
323178.2938740584,-20.57156032986111,499.8117131123719
323178.2938740584,-20.744626736111112,499.8117131123719
323178.2938740584,-0.7912706841362848,499.8117131123719
323178.2938740584,-1.6671910603841147,499.8117131123719
323178.2938740584,89.06333970811632,499.8117131123719
323178.2938740584,115.0755295138889,499.8117131123719
323178.2938740584,112.10127604166667,499.8117131123719
323178.2938740584,106.89842881944445,499.8117131123719
323178.2938740584,113.81434027777777,499.8117131123719
323178.2938740584,86.24491319444445,499.8117131123719
323178.2938740584,56.18305121527778,499.8117131123719
323178.2938740584,21.70461154513889,499.8117131123719
323178.2938740584,-0.6637172444661459,499.8117131123719
323178.2938740584,-0.6638444010416666,499.8117131123719
323178.2938740584,-7.255385199652777,499.8117131123719
323178.2938740584,-20.90611545138889,499.8117131123719
323178.2938740584,-21.28943359375,499.8117131123719
323178.2938740584,-21.321516927083334,499.8117131123719
323178.2938740584,-21.386844618055555,499.8117131123719
323178.2938740584,-21.407916666666665,499.8117131123719
323178.2938740584,-21.37669487847222,499.8117131123719
323178.2938740584,-21.425438368055556,499.8117131123719
323178.2938740584,-21.48095703125,499.8117131123719
323178.2938740584,-21.583582899305554,499.8117131123719
323178.2938740584,-21.677317708333334,499.8117131123719
323178.2938740584,-21.747721354166668,499.8117131123719
323178.2938740584,-0.790650160047743,499.8117131123719
323178.2938740584,-1.6236452229817708,499.8117131123719
323178.2938740584,88.99097737630208,499.8117131123719
323178.2938740584,114.23151041666667,499.8117131123719
323178.2938740584,109.88029513888888,499.8117131123719
323178.2938740584,106.97535590277778,499.8117131123719
323178.2938740584,114.99769965277778,499.8117131123719
323178.2938740584,89.01768229166667,499.8117131123719
323178.2938740584,56.738828125,499.8117131123719
323178.2938740584,22.36273220486111,499.8117131123719
323178.2938740584,-0.6637008327907986,499.8117131123719
323178.2938740584,-0.6638176812065972,499.8117131123719
323178.2938740584,-3.872269965277778,499.8117131123719
323178.2938740584,-20.32732421875,499.8117131123719
323178.2938740584,-20.84128689236111,499.8117131123719
323178.2938740584,-20.890169270833333,499.8117131123719
323178.2938740584,-20.89862847222222,499.8117131123719
323178.2938740584,-20.85943576388889,499.8117131123719
323178.2938740584,-20.863619791666668,499.8117131123719
323178.2938740584,-20.864674479166666,499.8117131123719
323178.2938740584,-20.876456163194444,499.8117131123719
323178.2938740584,-20.88324435763889,499.8117131123719
323178.2938740584,-20.819010416666668,499.8117131123719
323178.2938740584,-20.90023654513889,499.8117131123719
323178.2938740584,-0.7901696099175347,499.8117131123719
323178.2938740584,-1.5745805189344617,499.8117131123719
323178.2938740584,87.58412790934244,499.8117131123719
323178.2938740584,112.31480902777778,499.8117131123719
323178.2938740584,101.24527777777777,499.8117131123719
323178.2938740584,102.98963541666667,499.8117131123719
323178.2938740584,109.52014756944445,499.8117131123719
323178.2938740584,49.3958203125,499.8117131123719
323178.2938740584,-25.777105034722222,499.8117131123719
323178.2938740584,1.1779720052083333,499.8117131123719
323178.2938740584,-0.9289285617404514,499.8117131123719
323178.2938740584,-9.089263780381945,499.8117131123719
323178.2938740584,-17.366995442708333,499.8117131123719
323178.2938740584,-17.212087673611112,499.8117131123719
323178.2938740584,-17.013633897569445,499.8117131123719
323178.2938740584,-16.847591145833334,499.8117131123719
323178.2938740584,-16.852697482638888,499.8117131123719
323178.2938740584,-16.85683159722222,499.8117131123719
323178.2938740584,-16.862043185763888,499.8117131123719
323178.2938740584,-17.036344401041667,499.8117131123719
323178.2938740584,-17.210428602430557,499.8117131123719
323178.2938740584,-17.529913194444443,499.8117131123719
323178.2938740584,-17.839850260416668,499.8117131123719
323178.2938740584,-18.048709852430555,499.8117131123719
323178.2938740584,-1.0563981119791668,499.8117131123719
323178.2938740584,-1.8833512030707464,499.8117131123719
323178.2938740584,88.78720789591472,499.8117131123719
323178.2938740584,112.78704861111112,499.8117131123719
323178.2938740584,112.90677951388889,499.8117131123719
323178.2938740584,108.79252604166666,499.8117131123719
323178.2938740584,115.47426215277778,499.8117131123719
323178.2938740584,92.0833767361111,499.8117131123719
323178.2938740584,57.688463541666664,499.8117131123719
323178.2938740584,23.402380642361113,499.8117131123719
323178.2938740584,-0.663671400282118,499.8117131123719
323178.2938740584,-0.6637668863932291,499.8117131123719
323178.2938740584,-0.6640287950303819,499.8117131123719
323178.2938740584,-15.764583333333333,499.8117131123719
323178.2938740584,-19.36439453125,499.8117131123719
323178.2938740584,-19.559887152777776,499.8117131123719
323178.2938740584,-19.55740234375,499.8117131123719
323178.2938740584,-19.5765625,499.8117131123719
323178.2938740584,-19.586599392361112,499.8117131123719
323178.2938740584,-19.73171657986111,499.8117131123719
323178.2938740584,-20.006881510416665,499.8117131123719
323178.2938740584,-20.203832465277777,499.8117131123719
323178.2938740584,-20.32589409722222,499.8117131123719
323178.2938740584,-20.59644314236111,499.8117131123719
323178.2938740584,-0.7893364800347222,499.8117131123719
323178.2938740584,-1.6801756795247396,499.8117131123719
323178.2938740584,90.94583465576171,499.8117131123719
323178.2938740584,115.31660590277778,499.8117131123719
323178.2938740584,114.96193576388889,499.8117131123719
323178.2938740584,115.3163107638889,499.8117131123719
323178.2938740584,115.41650173611112,499.8117131123719
323178.2938740584,112.13715277777777,499.8117131123719
323178.2938740584,58.48930121527778,499.8117131123719
323178.2938740584,24.669542100694443,499.8117131123719
323178.2938740584,-0.6636138916015625,499.8117131123719
323178.2938740584,-0.6636818440755209,499.8117131123719
323178.2938740584,-0.663925035264757,499.8117131123719
323178.2938740584,-6.131115993923611,499.8117131123719
323178.2938740584,-17.268674045138887,499.8117131123719
323178.2938740584,-17.44403103298611,499.8117131123719
323178.2938740584,-17.43289496527778,499.8117131123719
323178.2938740584,-17.583233506944445,499.8117131123719
323178.2938740584,-17.596389973958335,499.8117131123719
323178.2938740584,-17.59712890625,499.8117131123719
